visit_id,member_id,venue_id,venue_name,venue_type,visit_date,market
VIS000001,M00001,V0007,Adventure Amusement Park,Amusement Park,2026-04-03,Salt Lake City
VIS000002,M00002,V0351,Rainbow Movie House,Movie Theater,2026-02-28,El Paso
VIS000003,M00006,V0044,Little Putt-Putt,Mini Golf,2025-08-12,Salt Lake City
VIS000004,M00006,V0007,Adventure Amusement Park,Amusement Park,2025-11-17,Salt Lake City
VIS000005,M00006,V0044,Little Putt-Putt,Mini Golf,2025-12-25,Salt Lake City
VIS000006,M00006,V0035,Little Aqua World,Water Park,2026-02-26,Salt Lake City
VIS000007,M00006,V0030,Royal Spray Park,Splash Pad,2026-03-13,Salt Lake City
VIS000008,M00006,V0007,Adventure Amusement Park,Amusement Park,2026-03-25,Salt Lake City
VIS000009,M00007,V0224,Big Lanes,Bowling,2025-08-31,Boise
VIS000010,M00007,V0238,Royal Ocean World,Aquarium,2025-12-28,Boise
VIS000011,M00007,V0242,Little Wildlife Center,Zoo,2026-01-07,Boise
VIS000012,M00007,V0224,Big Lanes,Bowling,2026-04-02,Boise
VIS000013,M00008,V0179,Super Mini Golf,Mini Golf,2026-02-26,Houston
VIS000014,M00011,V0007,Adventure Amusement Park,Amusement Park,2026-02-20,Salt Lake City
VIS000015,M00012,V0063,Golden Animal Park,Zoo,2025-07-01,Phoenix
VIS000016,M00012,V0063,Golden Animal Park,Zoo,2026-01-09,Phoenix
VIS000017,M00012,V0063,Golden Animal Park,Zoo,2026-02-27,Phoenix
VIS000018,M00013,V0237,Silver Fun Park,Amusement Park,2026-03-24,Boise
VIS000019,M00016,V0102,Big Skating Center,Ice Skating,2026-02-04,Dallas
VIS000020,M00016,V0112,Rainbow Speedway,Go-Karts,2026-02-15,Dallas
VIS000021,M00016,V0113,Little Aqua World,Water Park,2026-02-28,Dallas
VIS000022,M00017,V0020,Sunny Amusement Park,Amusement Park,2026-03-26,Salt Lake City
VIS000023,M00018,V0094,Happy Aqua World,Water Park,2025-06-01,Phoenix
VIS000024,M00018,V0062,Golden Mini Golf,Mini Golf,2026-02-28,Phoenix
VIS000025,M00019,V0078,Grand Science Center,Science Center,2025-12-22,Phoenix
VIS000026,M00019,V0069,Super Science Center,Science Center,2026-01-09,Phoenix
VIS000027,M00022,V0325,Silver Splash Pad,Splash Pad,2025-07-15,Mesa
VIS000028,M00023,V0038,Adventure Cinema,Movie Theater,2025-10-29,Salt Lake City
VIS000029,M00023,V0038,Adventure Cinema,Movie Theater,2025-12-11,Salt Lake City
VIS000030,M00023,V0015,Super Escape Room,Escape Room,2026-01-10,Salt Lake City
VIS000031,M00023,V0026,Silver Nature Reserve,Wildlife Park,2026-01-26,Salt Lake City
VIS000032,M00023,V0031,Adventure Garden Park,Botanical Garden,2026-03-07,Salt Lake City
VIS000033,M00023,V0028,Mega Museum,Museum,2026-04-08,Salt Lake City
VIS000034,M00023,V0016,Grand Skating Center,Ice Skating,2026-04-10,Salt Lake City
VIS000035,M00026,V0237,Silver Fun Park,Amusement Park,2025-06-25,Boise
VIS000036,M00026,V0229,Happy STEM World,Science Center,2025-10-27,Boise
VIS000037,M00026,V0229,Happy STEM World,Science Center,2025-10-30,Boise
VIS000038,M00026,V0240,Super Jump Zone,Trampoline Park,2025-11-21,Boise
VIS000039,M00026,V0224,Big Lanes,Bowling,2026-01-01,Boise
VIS000040,M00029,V0297,Silver Garden Park,Botanical Garden,2025-09-20,Provo
VIS000041,M00029,V0292,Cool Spray Park,Splash Pad,2025-12-22,Provo
VIS000042,M00030,V0302,Happy Aqua World,Water Park,2025-09-18,Provo
VIS000043,M00030,V0291,Rainbow Wildlife Center,Zoo,2025-09-28,Provo
VIS000044,M00030,V0291,Rainbow Wildlife Center,Zoo,2025-12-09,Provo
VIS000045,M00030,V0295,Mega Cinema,Movie Theater,2026-01-18,Provo
VIS000046,M00030,V0291,Rainbow Wildlife Center,Zoo,2026-01-27,Provo
VIS000047,M00030,V0291,Rainbow Wildlife Center,Zoo,2026-01-28,Provo
VIS000048,M00030,V0301,Royal Batting Cages,Batting Cages,2026-03-27,Provo
VIS000049,M00031,V0156,Family Arcade,Arcade,2025-08-20,Houston
VIS000050,M00031,V0176,Magic Bowling,Bowling,2025-10-03,Houston
VIS000051,M00031,V0156,Family Arcade,Arcade,2025-12-20,Houston
VIS000052,M00031,V0156,Family Arcade,Arcade,2026-02-21,Houston
VIS000053,M00032,V0211,Fun Sea Life Center,Aquarium,2026-01-31,Austin
VIS000054,M00034,V0239,Rainbow Golf Garden,Mini Golf,2025-12-07,Boise
VIS000055,M00034,V0229,Happy STEM World,Science Center,2026-03-06,Boise
VIS000056,M00040,V0332,Happy Water Park,Water Park,2025-10-18,Idaho Falls
VIS000057,M00040,V0335,Family Rock Wall,Rock Climbing,2025-10-22,Idaho Falls
VIS000058,M00040,V0332,Happy Water Park,Water Park,2026-01-11,Idaho Falls
VIS000059,M00040,V0332,Happy Water Park,Water Park,2026-02-15,Idaho Falls
VIS000060,M00040,V0332,Happy Water Park,Water Park,2026-04-02,Idaho Falls
VIS000061,M00041,V0133,Sunny Rock Wall,Rock Climbing,2026-01-27,Dallas
VIS000062,M00041,V0110,Lucky Wildlife Center,Zoo,2026-03-03,Dallas
VIS000063,M00042,V0038,Adventure Cinema,Movie Theater,2025-10-31,Salt Lake City
VIS000064,M00045,V0172,Grand Safari Zone,Wildlife Park,2025-07-20,Houston
VIS000065,M00046,V0278,Mega Bounce House,Trampoline Park,2025-06-13,San Antonio
VIS000066,M00047,V0015,Super Escape Room,Escape Room,2025-09-28,Salt Lake City
VIS000067,M00047,V0013,Happy Spray Park,Splash Pad,2025-10-31,Salt Lake City
VIS000068,M00047,V0020,Sunny Amusement Park,Amusement Park,2025-11-02,Salt Lake City
VIS000069,M00047,V0022,Grand Ice Rink,Ice Skating,2025-11-13,Salt Lake City
VIS000070,M00047,V0042,Sunny Cinema,Movie Theater,2026-03-22,Salt Lake City
VIS000071,M00048,V0253,Super Jump Zone,Trampoline Park,2025-11-06,Tucson
VIS000072,M00048,V0253,Super Jump Zone,Trampoline Park,2025-11-11,Tucson
VIS000073,M00048,V0253,Super Jump Zone,Trampoline Park,2025-11-19,Tucson
VIS000074,M00048,V0253,Super Jump Zone,Trampoline Park,2025-11-21,Tucson
VIS000075,M00048,V0251,Mega Swing Away,Batting Cages,2025-12-02,Tucson
VIS000076,M00048,V0257,Sunny Cinema,Movie Theater,2026-01-05,Tucson
VIS000077,M00048,V0254,Big Theme Park,Amusement Park,2026-02-17,Tucson
VIS000078,M00050,V0356,Little Mini Golf,Mini Golf,2025-09-06,Fort Worth
VIS000079,M00050,V0370,Lucky Science Center,Science Center,2025-11-08,Fort Worth
VIS000080,M00050,V0360,Super Laser Quest,Laser Tag,2025-11-22,Fort Worth
VIS000081,M00050,V0359,Cool Garden Park,Botanical Garden,2025-12-22,Fort Worth
VIS000082,M00050,V0370,Lucky Science Center,Science Center,2026-01-03,Fort Worth
VIS000083,M00050,V0356,Little Mini Golf,Mini Golf,2026-01-06,Fort Worth
VIS000084,M00050,V0359,Cool Garden Park,Botanical Garden,2026-02-19,Fort Worth
VIS000085,M00050,V0360,Super Laser Quest,Laser Tag,2026-04-07,Fort Worth
VIS000086,M00050,V0369,Super Bowl-O-Rama,Bowling,2026-04-11,Fort Worth
VIS000087,M00051,V0269,Royal Game Zone,Arcade,2025-10-28,San Antonio
VIS000088,M00051,V0268,Little Swing Away,Batting Cages,2025-12-20,San Antonio
VIS000089,M00051,V0273,Little Nature Reserve,Wildlife Park,2026-01-19,San Antonio
VIS000090,M00051,V0277,Epic Ocean World,Aquarium,2026-01-29,San Antonio
VIS000091,M00051,V0283,Wild Fun Park,Amusement Park,2026-02-28,San Antonio
VIS000092,M00051,V0271,Epic Puzzle House,Escape Room,2026-03-14,San Antonio
VIS000093,M00052,V0108,Mega Discovery Lab,Science Center,2026-04-08,Dallas
VIS000094,M00055,V0289,Star Fun Park,Amusement Park,2026-02-07,San Antonio
VIS000095,M00055,V0272,Cool Splash Zone,Water Park,2026-02-08,San Antonio
VIS000096,M00055,V0269,Royal Game Zone,Arcade,2026-02-09,San Antonio
