snapshot_date,member_id,total_visits,last_visit_date,segment
2026-01-17,M00003,0,,Ghost
2026-01-17,M00004,0,,Ghost
2026-01-17,M00006,3,2025-12-25,Approaching Threshold
2026-01-17,M00007,3,2026-01-07,Approaching Threshold
2026-01-17,M00009,0,,Ghost
2026-01-17,M00010,0,,Ghost
2026-01-17,M00012,2,2026-01-09,Approaching Threshold
2026-01-17,M00015,0,,Ghost
2026-01-17,M00016,0,,New Member
2026-01-17,M00018,1,2025-06-01,One-and-Done
2026-01-17,M00019,2,2026-01-09,Approaching Threshold
2026-01-17,M00020,0,,Ghost
2026-01-17,M00021,0,,Ghost
2026-01-17,M00022,1,2025-07-15,One-and-Done
2026-01-17,M00023,3,2026-01-10,Approaching Threshold
2026-01-17,M00024,0,,Ghost
2026-01-17,M00025,0,,Ghost
2026-01-17,M00026,5,2026-01-01,In the Zone
2026-01-17,M00027,0,,Ghost
2026-01-17,M00028,0,,Ghost
2026-01-17,M00029,2,2025-12-22,Approaching Threshold
2026-01-17,M00030,3,2025-12-09,Approaching Threshold
2026-01-17,M00031,3,2025-12-20,Approaching Threshold
2026-01-17,M00032,0,,New Member
2026-01-17,M00033,0,,Ghost
2026-01-17,M00034,1,2025-12-07,New Member
2026-01-17,M00037,0,,Ghost
2026-01-17,M00040,3,2026-01-11,Approaching Threshold
2026-01-17,M00041,0,,New Member
2026-01-17,M00042,1,2025-10-31,One-and-Done
2026-01-17,M00043,0,,Ghost
2026-01-17,M00044,0,,Ghost
2026-01-17,M00045,1,2025-07-20,One-and-Done
2026-01-17,M00046,1,2025-06-13,One-and-Done
2026-01-17,M00047,4,2025-11-13,In the Zone
2026-01-17,M00048,6,2026-01-05,In the Zone
2026-01-17,M00049,0,,Ghost
2026-01-17,M00050,6,2026-01-06,In the Zone
2026-01-17,M00051,2,2025-12-20,Approaching Threshold
2026-01-17,M00053,0,,Ghost
2026-01-17,M00054,0,,Ghost
2026-01-17,M00055,0,,Ghost
2026-01-17,M00056,2,2025-12-08,Approaching Threshold
2026-01-17,M00057,0,,Ghost
2026-01-17,M00059,0,,Ghost
2026-01-17,M00060,4,2025-12-28,In the Zone
2026-01-17,M00061,3,2025-10-06,Approaching Threshold
2026-01-17,M00062,0,,Ghost
2026-01-17,M00063,2,2025-12-17,Approaching Threshold
2026-01-17,M00064,2,2025-12-31,Approaching Threshold
2026-01-17,M00065,4,2025-12-31,In the Zone
2026-01-17,M00066,0,,Ghost
2026-01-17,M00067,2,2025-12-29,Approaching Threshold
2026-01-17,M00068,1,2025-08-29,One-and-Done
2026-01-17,M00069,0,,Ghost
2026-01-17,M00070,0,,Ghost
2026-01-17,M00071,1,2025-10-24,One-and-Done
2026-01-17,M00073,0,,Ghost
2026-01-17,M00074,0,,Ghost
2026-01-17,M00075,6,2026-01-11,In the Zone
2026-01-17,M00076,5,2025-12-09,In the Zone
2026-01-17,M00079,0,,Ghost
2026-01-17,M00080,0,,New Member
2026-01-17,M00081,1,2025-11-12,One-and-Done
2026-01-17,M00083,5,2025-11-16,In the Zone
2026-01-17,M00084,5,2025-11-29,In the Zone
2026-01-17,M00087,1,2026-01-17,New Member
2026-01-17,M00090,0,,Ghost
2026-01-17,M00091,1,2025-11-17,One-and-Done
2026-01-17,M00092,5,2026-01-02,In the Zone
2026-01-17,M00093,1,2025-10-21,One-and-Done
2026-01-17,M00094,0,,New Member
2026-01-17,M00096,1,2025-06-28,One-and-Done
2026-01-17,M00098,3,2026-01-07,Approaching Threshold
2026-01-17,M00099,4,2025-12-14,In the Zone
2026-01-17,M00100,0,,Ghost
2026-01-17,M00101,0,,Ghost
2026-01-17,M00104,0,,Ghost
2026-01-17,M00105,0,,Ghost
2026-01-17,M00112,0,,Ghost
2026-01-17,M00113,2,2025-11-01,Approaching Threshold
2026-01-17,M00114,0,,Ghost
2026-01-17,M00115,8,2026-01-11,In the Zone
2026-01-17,M00116,0,,Ghost
2026-01-17,M00117,0,,Ghost
2026-01-17,M00118,0,,Ghost
2026-01-17,M00119,0,,Ghost
2026-01-17,M00120,1,2025-12-22,New Member
2026-01-17,M00121,0,,Ghost
2026-01-17,M00123,0,,Ghost
2026-01-17,M00124,0,,Ghost
2026-01-17,M00125,0,,Ghost
2026-01-17,M00126,2,2025-12-20,Approaching Threshold
2026-01-17,M00127,0,,Ghost
2026-01-17,M00130,1,2026-01-15,New Member
2026-01-17,M00131,1,2025-07-29,One-and-Done
2026-01-17,M00132,0,,Ghost
2026-01-17,M00133,0,,Ghost
2026-01-17,M00135,3,2025-08-06,Approaching Threshold
2026-01-17,M00136,3,2025-12-03,Approaching Threshold
2026-01-17,M00137,0,,Ghost
2026-01-17,M00138,1,2025-11-12,One-and-Done
2026-01-17,M00139,2,2025-12-15,Approaching Threshold
2026-01-17,M00140,0,,Ghost
2026-01-17,M00141,0,,Ghost
2026-01-17,M00142,0,,Ghost
2026-01-17,M00143,0,,Ghost
2026-01-17,M00145,2,2026-01-07,Approaching Threshold
2026-01-17,M00147,0,,Ghost
2026-01-17,M00148,0,,New Member
2026-01-17,M00149,0,,Ghost
2026-01-17,M00150,0,,Ghost
2026-01-17,M00151,0,,Ghost
2026-01-17,M00152,0,,New Member
2026-01-17,M00153,0,,Ghost
2026-01-17,M00154,1,2025-10-11,One-and-Done
2026-01-17,M00155,1,2025-12-19,New Member
2026-01-17,M00156,0,,Ghost
2026-01-17,M00157,2,2026-01-10,Approaching Threshold
2026-01-17,M00158,1,2025-11-14,One-and-Done
2026-01-17,M00159,0,,Ghost
2026-01-17,M00160,0,,Ghost
2026-01-17,M00162,3,2025-11-30,Approaching Threshold
2026-01-17,M00163,0,,Ghost
2026-01-17,M00164,0,,Ghost
2026-01-17,M00166,7,2025-12-03,In the Zone
2026-01-17,M00167,0,,Ghost
2026-01-17,M00168,0,,Ghost
2026-01-17,M00169,0,,New Member
2026-01-17,M00170,1,2025-12-26,New Member
2026-01-17,M00171,2,2025-11-25,Approaching Threshold
2026-01-17,M00172,5,2026-01-02,In the Zone
2026-01-17,M00173,1,2026-01-14,New Member
2026-01-17,M00175,2,2025-10-13,Approaching Threshold
2026-01-17,M00176,0,,Ghost
2026-01-17,M00177,0,,Ghost
2026-01-17,M00179,7,2026-01-12,In the Zone
2026-01-17,M00180,0,,Ghost
2026-01-17,M00181,2,2025-12-21,Approaching Threshold
2026-01-17,M00182,7,2025-12-27,In the Zone
2026-01-17,M00184,3,2025-10-09,Approaching Threshold
2026-01-17,M00185,3,2025-11-29,Approaching Threshold
2026-01-17,M00186,2,2026-01-17,Approaching Threshold
2026-01-17,M00187,4,2026-01-12,In the Zone
2026-01-17,M00188,2,2025-11-26,Approaching Threshold
2026-01-17,M00191,0,,Ghost
2026-01-17,M00192,1,2025-11-05,One-and-Done
2026-01-17,M00193,3,2026-01-17,Approaching Threshold
2026-01-17,M00194,1,2025-05-19,One-and-Done
2026-01-17,M00195,5,2025-11-12,In the Zone
2026-01-17,M00196,0,,Ghost
2026-01-17,M00197,1,2026-01-10,New Member
2026-01-17,M00198,4,2026-01-06,In the Zone
2026-01-17,M00199,1,2025-11-07,One-and-Done
2026-01-17,M00200,0,,Ghost
2026-01-17,M00203,4,2025-10-03,In the Zone
2026-01-17,M00204,0,,Ghost
2026-01-17,M00205,0,,Ghost
2026-01-17,M00207,2,2025-12-22,Approaching Threshold
2026-01-17,M00208,0,,Ghost
2026-01-17,M00209,0,,Ghost
2026-01-17,M00211,4,2026-01-01,In the Zone
2026-01-17,M00212,1,2025-12-14,New Member
2026-01-17,M00213,2,2026-01-13,Approaching Threshold
2026-01-17,M00214,5,2026-01-13,In the Zone
2026-01-17,M00215,2,2026-01-15,Approaching Threshold
2026-01-17,M00216,0,,Ghost
2026-01-17,M00217,0,,Ghost
2026-01-17,M00219,4,2025-12-13,In the Zone
2026-01-17,M00220,0,,Ghost
2026-01-17,M00221,4,2025-12-12,In the Zone
2026-01-17,M00222,0,,Ghost
2026-01-17,M00223,1,2025-08-26,One-and-Done
2026-01-17,M00224,0,,Ghost
2026-01-17,M00226,7,2026-01-05,In the Zone
2026-01-17,M00228,1,2026-01-04,New Member
2026-01-17,M00229,0,,Ghost
2026-01-17,M00233,0,,Ghost
2026-01-17,M00234,3,2025-12-16,Approaching Threshold
2026-01-17,M00236,0,,Ghost
2026-01-17,M00238,0,,New Member
2026-01-17,M00239,2,2026-01-03,Approaching Threshold
2026-01-17,M00240,2,2025-12-25,Approaching Threshold
2026-01-17,M00241,0,,Ghost
2026-01-17,M00242,4,2026-01-04,In the Zone
2026-01-17,M00243,1,2025-12-27,New Member
2026-01-17,M00244,0,,Ghost
2026-01-17,M00245,3,2025-12-22,Approaching Threshold
2026-01-17,M00246,0,,Ghost
2026-01-17,M00247,0,,Ghost
2026-01-17,M00249,2,2025-12-14,Approaching Threshold
2026-01-17,M00251,5,2025-10-13,In the Zone
2026-01-17,M00254,0,,Ghost
2026-01-17,M00255,0,,Ghost
2026-01-17,M00257,2,2025-09-28,Approaching Threshold
2026-01-17,M00258,0,,Ghost
2026-01-17,M00259,3,2026-01-08,Approaching Threshold
2026-01-17,M00260,1,2025-08-18,One-and-Done
2026-01-17,M00262,0,,Ghost
2026-01-17,M00263,4,2025-11-22,In the Zone
2026-01-17,M00264,1,2025-12-14,New Member
2026-01-17,M00265,4,2025-12-25,In the Zone
2026-01-17,M00266,3,2026-01-17,Approaching Threshold
2026-01-17,M00267,0,,Ghost
2026-01-17,M00269,0,,Ghost
2026-01-17,M00270,2,2025-11-16,Approaching Threshold
2026-01-17,M00272,0,,Ghost
2026-01-17,M00273,5,2026-01-02,In the Zone
2026-01-17,M00274,0,,Ghost
2026-01-17,M00275,8,2026-01-17,In the Zone
2026-01-17,M00276,0,,Ghost
2026-01-17,M00277,0,,Ghost
2026-01-17,M00278,0,,Ghost
2026-01-17,M00279,6,2025-11-21,In the Zone
2026-01-17,M00280,0,,Ghost
2026-01-17,M00281,0,,Ghost
2026-01-17,M00282,3,2026-01-13,Approaching Threshold
2026-01-17,M00283,0,,Ghost
2026-01-17,M00286,0,,Ghost
2026-01-17,M00288,1,2026-01-11,New Member
2026-01-17,M00289,0,,Ghost
2026-01-17,M00290,0,,Ghost
2026-01-17,M00291,3,2025-12-19,Approaching Threshold
2026-01-17,M00292,2,2026-01-13,Approaching Threshold
2026-01-17,M00293,0,,Ghost
2026-01-17,M00294,1,2025-10-07,One-and-Done
2026-01-17,M00296,5,2025-11-07,In the Zone
2026-01-17,M00297,2,2026-01-01,Approaching Threshold
2026-01-17,M00298,3,2026-01-10,Approaching Threshold
2026-01-17,M00299,0,,New Member
2026-01-17,M00300,0,,Ghost
2026-01-17,M00301,3,2025-10-08,Approaching Threshold
2026-01-17,M00302,3,2025-10-29,Approaching Threshold
2026-01-17,M00303,9,2026-01-14,In the Zone
2026-01-17,M00304,7,2025-12-21,In the Zone
2026-01-17,M00305,1,2025-11-29,One-and-Done
2026-01-17,M00306,1,2025-11-28,One-and-Done
2026-01-17,M00308,1,2025-11-13,One-and-Done
2026-01-17,M00309,0,,Ghost
2026-01-17,M00310,0,,Ghost
2026-01-17,M00311,6,2025-11-27,In the Zone
2026-01-17,M00312,1,2026-01-14,New Member
2026-01-17,M00314,0,,Ghost
2026-01-17,M00315,0,,Ghost
2026-01-17,M00316,5,2025-11-22,In the Zone
2026-01-17,M00317,3,2026-01-11,Approaching Threshold
2026-01-17,M00318,0,,New Member
2026-01-17,M00319,0,,Ghost
2026-01-17,M00320,0,,Ghost
2026-01-17,M00321,7,2025-12-29,In the Zone
2026-01-17,M00322,0,,Ghost
2026-01-17,M00323,1,2026-01-04,New Member
2026-01-17,M00324,0,,Ghost
2026-01-17,M00328,3,2025-12-25,Approaching Threshold
2026-01-17,M00329,0,,Ghost
2026-01-17,M00330,0,,Ghost
2026-01-17,M00331,0,,Ghost
2026-01-17,M00332,1,2025-09-27,One-and-Done
2026-01-17,M00333,2,2025-11-28,Approaching Threshold
2026-01-17,M00335,1,2025-08-08,One-and-Done
2026-01-17,M00337,9,2026-01-12,In the Zone
2026-01-17,M00338,1,2026-01-16,New Member
2026-01-17,M00339,0,,New Member
2026-01-17,M00340,0,,Ghost
2026-01-17,M00341,0,,Ghost
2026-01-17,M00342,1,2025-12-28,New Member
2026-01-17,M00343,0,,Ghost
2026-01-17,M00344,2,2025-07-30,Approaching Threshold
2026-01-17,M00346,3,2025-12-11,Approaching Threshold
2026-01-17,M00347,1,2025-07-18,One-and-Done
2026-01-17,M00348,3,2025-08-03,Approaching Threshold
2026-01-17,M00349,7,2026-01-17,In the Zone
2026-01-17,M00350,0,,Ghost
2026-01-17,M00351,0,,Ghost
2026-01-17,M00352,1,2025-10-16,One-and-Done
2026-01-17,M00353,0,,Ghost
2026-01-17,M00354,0,,Ghost
2026-01-17,M00355,3,2026-01-12,Approaching Threshold
2026-01-17,M00356,0,,New Member
2026-01-17,M00357,0,,New Member
